,STATION,NAME,DATE,AWND,SNOW,YEAR
619,USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",9/11/2017,1.79,0.0,2017
275,USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",10/2/2016,1.79,0.0,2016
298,USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",10/25/2016,2.01,0.0,2016
154,USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",6/3/2016,2.46,0.0,2016
320,USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",11/16/2016,2.68,0.0,2016
215,USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",8/3/2016,2.68,0.0,2016
681,USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",11/12/2017,2.68,0.0,2017
63,USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",3/4/2016,2.68,0.2,2016
282,USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",10/9/2016,2.68,0.0,2016
222,USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",8/10/2016,2.91,0.0,2016
