,NAME,SNOW
30,"ADA 0.7 SE, MI US",16.0
31,"ADA 1.8 W, MI US",49.6
32,"ALLENDALE 1.3 SSW, MI US",57.1
33,"ALLENDALE 2.1 SE, MI US",0.0
34,"ALTO 4.5 SW, MI US",0.0
35,"BELMONT 1.0 WNW, MI US",21.1
36,"CALEDONIA 4.4 WNW, MI US",41.9
37,"COMSTOCK PARK 1.0 NNW, MI US",0.0
38,"COMSTOCK PARK 3.7 NNE, MI US",42.0
39,"CUTLERVILLE 1.0 NNE, MI US",25.0
40,"EAST GRAND RAPIDS, MI US",53.1
41,"GRAND RAPIDS 2.5 ENE, MI US",43.4
42,"GRAND RAPIDS 2.9 NW, MI US",27.7
43,"GRAND RAPIDS 3.1 NNE, MI US",0.0
44,"GRAND RAPIDS 3.8 SE, MI US",0.0
45,"GRAND RAPIDS 4.6 ESE, MI US",19.9
46,"GRAND RAPIDS 5.5 SSE, MI US",0.0
47,"GRAND RAPIDS 9.6 ESE, MI US",0.0
48,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.9
49,"GRAND RAPIDS SUTRON, MI US",0.0
50,"GRANDVILLE 1.3 WSW, MI US",61.4
51,"JENISON 1.0 NE, MI US",0.0
52,"KENTWOOD 1.6 WSW, MI US",0.0
53,"KENTWOOD 1.8 SSE, MI US",0.0
54,"NWSFO GRAND RAPIDS, MI US",23.1
55,"ROCKFORD 0.9 NNE, MI US",36.8
56,"ROCKFORD 5.0 ESE, MI US",32.4
57,"ROCKFORD, MI US",41.4
58,"SPARTA 2.8 W, MI US",0.0
59,"WYOMING 0.5 NNE, MI US",1.0
60,"WYOMING 2.2 SW, MI US",0.0
